count,cumsum,mass,MAUI,pct_giving,TypeItem,sample_size
18,778,18,0.3784448818897638,0.06,I3,300
17,795,17,0.3870570866141732,0.056666666666666664,I3,300
16,859,64,0.40698818897637795,0.05333333333333334,I3,300
15,889,30,0.4301181102362205,0.05,I3,300
14,903,14,0.4409448818897638,0.04666666666666667,I3,300
13,929,26,0.4507874015748031,0.043333333333333335,I3,300
12,941,12,0.46013779527559057,0.04,I3,300
11,985,44,0.47391732283464566,0.03666666666666667,I3,300
10,995,10,0.48720472440944884,0.03333333333333333,I3,300
9,1031,36,0.4985236220472441,0.03,I3,300
8,1087,56,0.5211614173228346,0.02666666666666667,I3,300
7,1164,77,0.5538877952755905,0.023333333333333334,I3,300
6,1236,72,0.5905511811023622,0.02,I3,300
5,1291,55,0.6218011811023622,0.016666666666666666,I3,300
4,1375,84,0.656003937007874,0.013333333333333334,I3,300
3,1468,93,0.6995570866141733,0.01,I3,300
2,1612,144,0.7578740157480315,0.006666666666666667,I3,300
1,2032,420,0.8966535433070866,0.0033333333333333335,I3,300
93,93,93,0.04068241469816273,0.31,U1,300
60,153,60,0.10761154855643044,0.2,U1,300
51,204,51,0.15616797900262466,0.17,U1,300
46,250,46,0.19860017497812774,0.15333333333333332,U1,300
24,274,24,0.22922134733158356,0.08,U1,300
23,297,23,0.24978127734033245,0.07666666666666666,U1,300
22,341,44,0.279090113735783,0.07333333333333333,U1,300
21,362,21,0.30752405949256345,0.07,U1,300
19,381,19,0.32502187226596674,0.06333333333333334,U1,300
17,415,34,0.34820647419072615,0.056666666666666664,U1,300
14,443,28,0.3753280839895013,0.04666666666666667,U1,300
13,456,13,0.39326334208223973,0.043333333333333335,U1,300
12,480,24,0.4094488188976378,0.04,U1,300
11,513,33,0.4343832020997375,0.03666666666666667,U1,300
10,573,60,0.47506561679790027,0.03333333333333333,U1,300
9,609,36,0.5170603674540682,0.03,U1,300
8,657,48,0.5538057742782152,0.02666666666666667,U1,300
7,664,7,0.5778652668416447,0.023333333333333334,U1,300
6,718,54,0.6045494313210849,0.02,U1,300
5,753,35,0.6434820647419073,0.016666666666666666,U1,300
4,809,56,0.6832895888013998,0.013333333333333334,U1,300
3,872,63,0.7353455818022747,0.01,U1,300
2,968,96,0.8048993875765529,0.006666666666666667,U1,300
1,1143,175,0.9234470691163604,0.0033333333333333335,U1,300
88,88,88,0.028442146089204912,0.29333333333333333,U2,300
54,142,54,0.07433742727860375,0.18,U2,300
28,170,28,0.10084033613445378,0.09333333333333334,U2,300
27,224,54,0.1273432449903038,0.09,U2,300
23,270,46,0.15966386554621848,0.07666666666666666,U2,300
21,291,21,0.1813186813186813,0.07,U2,300
20,331,40,0.20103425985778928,0.06666666666666667,U2,300
19,369,38,0.22624434389140272,0.06333333333333334,U2,300
