partID,sum_MAUI,avg_MAUI,sum_UI95,avg_UI95,TypeItem
46404173,3.3676470588235294,0.8419117647058824,4,1,F1
46809593,1.0051373008219682,0.335045766940656,1,0.3333333333333333,F1
47224003,5.326171322713727,0.48419739297397524,7,0.6363636363636364,F1
48161169,2.9080882352941178,0.41544117647058826,4,0.5714285714285714,F1
49420792,1.366421568627451,0.34160539215686275,1,0.25,F1
50802090,4.597482174688057,0.57468527183600715,5,0.625,F1
51720442,0.0625,0.0625,0,0,F1
51772879,0.3112745098039216,0.1556372549019608,0,0,F1
52205728,0.5931372549019608,0.2965686274509804,1,0.5,F1
52549848,0.3443627450980392,0.3443627450980392,0,0,F1
53562916,2.2144607843137254,0.7381535947712419,3,1,F1
54226940,0.0625,0.0625,0,0,F1
54294384,1.661764705882353,0.553921568627451,2,0.6666666666666666,F1
54466243,3.4233365477338475,0.5705560912889746,4,0.6666666666666666,F1
56213356,2.5039118106258895,0.35770168723226997,2,0.2857142857142857,F1
56383965,1.3174019607843137,0.43913398692810457,2,0.6666666666666666,F1
56617316,10.647923756064863,0.6263484562391096,14,0.8235294117647058,F1
